resource_id	repository_or_resource	assay_or_resource	role_in_study	independent_unit	redistribution_note
GSE154778	GEO	scRNA-seq	Discovery; endothelial pseudobulk	Patient/sample	Download from GEO
GSE155698	GEO	scRNA-seq	Discovery; endothelial pseudobulk	Patient/sample	Download from GEO
GSE212966	GEO	scRNA-seq	Discovery; endothelial pseudobulk	Patient/sample	Download from GEO
GSE62452	GEO	Bulk expression	External paired validation	Patient/pair	Download from GEO
GSE71729	GEO	Bulk expression	External validation	Individual sample	Download from GEO
GSE282302	GEO	Image-resolved spatial transcriptomics	Spatial localization and conditional model	Patient	Download from GEO
GSE297144	GEO	Image-resolved spatial transcriptomics	Spatial replication and endothelial control	Processed sample	Download from GEO
GSE327056	GEO	Visium spatial transcriptomics	Descriptive vascular-score replication	Spatial section	Download from GEO
GSE202051	GEO	scRNA-seq	Independent tumor-only endothelial localization	Patient	Download from GEO
GSE205049	GEO	CD45-enriched paired scRNA-seq	Immune receiver-side sensitivity	Patient/pair	Download from GEO
GSE21501	GEO	Bulk expression with survival annotation	Survival sensitivity	Individual patient	Download from GEO
TCGA-PAAD	GDC	Multi-omics cancer resource	Orthogonal association and sensitivity analyses	Individual case	Follow GDC terms
CPTAC-PAAD	CPTAC	Proteomics	Protein-level sensitivity analyses	Individual case	Follow CPTAC terms
DepMap	DepMap	CRISPR dependency data	Dependency sensitivity analysis	Cell line	Follow DepMap terms
PRISM 20Q2	Broad Institute	Drug viability profiles	Pharmacology prioritization	Cell line	Follow PRISM terms
GTEx	GTEx Portal	cis-eQTL data	MR instrument discovery	Variant/gene	Follow GTEx terms
eQTL Catalogue	eQTL Catalogue	cis-eQTL data	MR sensitivity analysis	Variant/gene	Follow source terms
GWAS Catalog	GWAS Catalog	PDAC GWAS summary statistics	MR outcome data	Variant	Follow GWAS Catalog terms
