source_table	logFC	P.Value	adj.P.Val	program	n_pairs	contrast	n_g1	n_g0	patient	n_ROI	n_spots	median_EPAS1_vascular_rho	median_EPAS1_program_rho	proportion_positive_EPAS1_vascular	proportion_positive_EPAS1_program	EPAS1_vascular_positive	EPAS1_program_positive
GSE62452_paired_programs	0.248198214351817	1.16866514634431e-05	1.16866514634431e-05	endothelial	45.0												
GSE62452_paired_programs	0.302456608825801	1.10015745831315e-05	1.10015745831315e-05	T_NK	45.0												
GSE71729_program_contrasts	0.296887086282447	4.67503001264517e-10	4.67503001264517e-10	endothelial		primary_vs_normal	145.0	46.0									
GSE71729_program_contrasts	0.156069222801294	0.0014898794618165	0.0014898794618165	T_NK		primary_vs_normal	145.0	46.0									
GSE71729_program_contrasts	-0.0853129641415353	0.758226518811966	0.758226518811966	endothelial		vessel_vs_normal	1.0	46.0									
GSE71729_program_contrasts	-0.234153683367577	0.354800389680909	0.354800389680909	T_NK		vessel_vs_normal	1.0	46.0									
GSE71729_program_contrasts	0.103880301354451	0.0825255755587321	0.0825255755587321	endothelial		met_vs_normal	61.0	46.0									
GSE71729_program_contrasts	0.0830868858955595	0.0911161783150026	0.0911161783150026	T_NK		met_vs_normal	61.0	46.0									
GSE282302_patient_spatial									D10	10.0	37645.0	0.150967190809679	-0.0338657799590388	1.0	0.4	True	False
GSE282302_patient_spatial									D11	14.0	44403.0	0.253949247667648	-0.068014353577616	1.0	0.142857142857143	True	False
GSE282302_patient_spatial									D12	11.0	36680.0	0.237357633699272	-0.0192157406972687	1.0	0.4	True	False
GSE282302_patient_spatial									D13	3.0	11959.0	0.147448092333382	0.0345115480163461	1.0	0.5	True	True
GSE282302_patient_spatial									D14	3.0	11428.0	0.0788716450333636	0.019953718459209	1.0	1.0	True	True
GSE282302_patient_spatial									D1	6.0	14744.0	0.164786651398005	-0.0092615042176626	0.833333333333333	0.5	True	False
GSE282302_patient_spatial									D2	6.0	17580.0	0.224569949535695	-0.04508228561058	1.0	0.0	True	False
GSE282302_patient_spatial									D3	6.0	17805.0	0.255979005814706	-0.0227379306879446	1.0	0.5	True	False
GSE282302_patient_spatial									D4	6.0	20123.0	0.298855645629985	-0.0446187608819881	1.0	0.333333333333333	True	False
GSE282302_patient_spatial									D5	7.0	21796.0	0.215849494129965	-2.59385722444474e-05	1.0	0.428571428571429	True	False
GSE282302_patient_spatial									D6	7.0	24315.0	0.26266801102943	-0.0169952968580662	1.0	0.428571428571429	True	False
GSE282302_patient_spatial									D7	7.0	25997.0	0.231401866273672	-0.0004939839413138	1.0	0.428571428571429	True	False
GSE282302_patient_spatial									D8	10.0	33817.0	0.247003619625084	-0.0161461791557184	1.0	0.4	True	False
GSE282302_patient_spatial									D9	12.0	34965.0	0.181790669498159	-0.0073570747456748	1.0	0.5	True	False
GSE297144_patient_spatial									GSM8984652_FRU_01	1.0	3432.0	0.18639270457956	-0.0511289248124055	1.0	0.0		
GSE297144_patient_spatial									GSM8984653_FRU_02	1.0	3629.0	0.188048612443993	-0.126838161189676	1.0	0.0		
GSE297144_patient_spatial									GSM8984654_FRU_03	1.0	2043.0	0.197694923804732	-0.0013777660649688	1.0	0.0		
GSE297144_patient_spatial									GSM8984655_FRU_04	1.0	2868.0	0.0786306895221949		1.0			
GSE297144_patient_spatial									GSM8984656_FRU_05	1.0	4570.0	0.147468634081773	-0.0103734007415151	1.0	0.0		
GSE297144_patient_spatial									GSM8984657_FRU_06	1.0	3697.0	0.205277970621269		1.0			
GSE297144_patient_spatial									GSM8984658_FRU_07	1.0	3659.0	0.100495155280401	-0.0251956993085399	1.0	0.0		
GSE297144_patient_spatial									GSM8984659_FRU_08	1.0	2713.0	0.158107683996525	-0.0115353708957409	1.0	0.0		
