dataset	cell_type	target	perturbation	program	n_program_genes	n_sig_fdr	mean_abs_Z	mean_FC	network_score
GSE154778_primary	endothelial	EPAS1	KO	endothelial	10	1	0.884538457960696	89.3384317518993	16.2494046853119
GSE154778_primary	endothelial	EPAS1	KO	CAF_ECM	8	0	0.475077072073092	0.0478118193042846	6.43283566388962e-12
GSE154778_primary	endothelial	EPAS1	KO	myeloid_inflammation	10	0	1.53459140961319	0.00844333412971744	8.04104457986203e-12
GSE154778_primary	endothelial	EPAS1	KO	cytotoxic_TNK	7	0	1.63272060655709	4.20123068195266e-20	5.62873120590342e-12
GSE154778_primary	endothelial	EPAS1	KO	T_exhaustion	7	0	1.41784471469836	0.1227394150397	5.62873120590342e-12
GSE154778_primary	endothelial	EPAS1	KO	TNF_NFkB	8	0	1.18688826246144	0.0335441575686041	6.43283566388962e-12
GSE154778_primary	endothelial	EPAS1	KO	angiogenesis	7	1	0.811680147577754	126.918344393737	16.0000000000048
GSE154778_primary	endothelial	EPAS1	KO	TGFb_fibrosis	10	0	0.620695331753959	0.153594666985644	8.04104457986203e-12
GSE154778_primary	endothelial	EPAS1	OE	endothelial	10	0	0.619965784253666	1.63191764077729	0.71133631561114
GSE154778_primary	endothelial	EPAS1	OE	CAF_ECM	8	0	0.916624260942794	0.197188888117208	1.23048184732202e-13
GSE154778_primary	endothelial	EPAS1	OE	myeloid_inflammation	10	0	1.16062887705585	0.147859299460882	1.53810230915252e-13
GSE154778_primary	endothelial	EPAS1	OE	cytotoxic_TNK	7	0	1.42928117460926	4.79434181305676e-27	1.07667161640676e-13
GSE154778_primary	endothelial	EPAS1	OE	T_exhaustion	7	0	1.33912824244738	0.101858036171581	1.07667161640676e-13
GSE154778_primary	endothelial	EPAS1	OE	TNF_NFkB	8	0	1.28956998155107	0.426016169965682	1.23048184732202e-13
GSE154778_primary	endothelial	EPAS1	OE	angiogenesis	7	0	0.800235112708523	1.69624997016406	0.644366766613252
GSE154778_primary	endothelial	EPAS1	OE	TGFb_fibrosis	10	0	1.05305646309395	0.34074733871463	1.53810230915252e-13
