dataset	gsm	tissue_context	patient_id	total_singlet_cells	B_cell	CD8	T_NK	acinar	endothelial	epithelial	fibroblast_CAF	malignant_epithelial	mast	myeloid	unknown_ambiguous	prop_B_cell	prop_CD8	prop_T_NK	prop_acinar	prop_endothelial	prop_epithelial	prop_fibroblast_CAF	prop_malignant_epithelial	prop_mast	prop_myeloid	prop_unknown_ambiguous	malignant_epithelial_program	CAF_program	myeloid_program	CD8_activation	CD8_exhaustion
GSE154778	GSM4679532	primary_tumor	P01	551	23	8	31	0	22	119	160	40	14	16	118	0.0417422867513612	0.014519056261343	0.0562613430127042	0.0	0.0399274047186933	0.215970961887477	0.29038112522686	0.0725952813067151	0.0254083484573503	0.029038112522686	0.214156079854809	0.755441247361412	0.705161282041047	0.289513519248085	0.0771628322748162	0.0404394443702759
GSE154778	GSM4679533	primary_tumor	P02	104	17	18	3	0	0	31	3	2	0	9	21	0.163461538461538	0.173076923076923	0.0288461538461538	0.0	0.0	0.298076923076923	0.0288461538461538	0.0192307692307692	0.0	0.0865384615384615	0.201923076923077	0.737960857320352	0.0407384242519023	0.468475565300014	0.283947048794271	0.067521089701318
GSE154778	GSM4679534	primary_tumor	P03	710	14	0	0	8	15	94	106	164	0	11	298	0.0197183098591549	0.0	0.0	0.0112676056338028	0.0211267605633803	0.132394366197183	0.149295774647887	0.230985915492958	0.0	0.0154929577464789	0.419718309859155	0.90109822931077	0.531726083362303	0.268031595311474	0.0047162216977959	0.0142249850788509
GSE154778	GSM4679535	primary_tumor	P04	821	1	0	0	40	0	301	258	98	0	1	122	0.0012180267965895	0.0	0.0	0.048721071863581	0.0	0.366626065773447	0.314250913520097	0.119366626065773	0.0	0.0012180267965895	0.148599269183922	1.05478609419093	0.770867809861621	0.125382365860426	0.0002501117577148	0.0050299116701895
GSE154778	GSM4679536	primary_tumor	P05	711	39	3	1	0	8	11	550	18	0	46	35	0.0548523206751055	0.0042194092827004	0.0014064697609001	0.0	0.0112517580872011	0.0154711673699015	0.773558368495077	0.0253164556962025	0.0	0.0646976090014065	0.0492264416315049	0.35400953852374	2.16545957207832	0.385800156616451	0.0241256684340328	0.0499386916238814
GSE154778	GSM4679537	primary_tumor	P06	716	47	0	0	3	7	65	248	154	0	21	171	0.0656424581005587	0.0	0.0	0.0041899441340782	0.0097765363128491	0.0907821229050279	0.346368715083799	0.215083798882682	0.0	0.0293296089385475	0.238826815642458	1.0124634373846	0.948221350220413	0.580089920224081	0.0248762836201231	0.0333682272368738
GSE154778	GSM4679538	primary_tumor	P07	1044	167	16	5	0	8	158	154	2	7	421	106	0.159961685823755	0.0153256704980843	0.0047892720306513	0.0	0.0076628352490421	0.151340996168582	0.147509578544061	0.0019157088122605	0.0067049808429118	0.403256704980843	0.101532567049808	0.500953152144052	0.566445900646224	1.28180596854441	0.107869627931962	0.147428529141466
GSE154778	GSM4679539	primary_tumor	P08	1078	58	2	1	0	8	435	158	77	5	47	287	0.0538033395176252	0.0018552875695732	0.0009276437847866	0.0	0.0074211502782931	0.403525046382189	0.146567717996289	0.0714285714285714	0.0046382189239332	0.0435992578849722	0.266233766233766	1.61552802532844	0.383445971954225	0.672218627900064	0.0120958041109264	0.0326147574341814
GSE154778	GSM4679540	primary_tumor	P09	814	38	1	0	0	19	40	244	148	6	224	94	0.0466830466830467	0.0012285012285012	0.0	0.0	0.0233415233415233	0.0491400491400491	0.2997542997543	0.181818181818182	0.0073710073710073	0.275184275184275	0.115479115479116	0.840622049996278	1.08396833832044	0.989166372535768	0.0278346714358456	0.0498064257408946
GSE154778	GSM4679541	primary_tumor	P10	1455	44	0	0	0	0	290	128	377	0	53	563	0.0302405498281787	0.0	0.0	0.0	0.0	0.199312714776632	0.0879725085910653	0.259106529209622	0.0	0.036426116838488	0.386941580756014	1.43977214505566	0.310770986161592	0.574015344093975	0.0708664485077173	0.0160899366250519
GSE154778	GSM4679542	metastasis	MET01	395	1	1	1	0	0	39	0	249	0	10	94	0.0025316455696202	0.0025316455696202	0.0025316455696202	0.0	0.0	0.0987341772151899	0.0	0.630379746835443	0.0	0.0253164556962025	0.237974683544304	1.80749451957598	0.0077720977155859	0.342511659355635	0.0086649956655942	0.0080657735989071
