dataset	sample_label	status	cells	genes	barcode_rows	feature_rows	median_umi	median_genes_detected
GSE154778	GSM4679532_K16733	ok	585	36601	585	36601	5926.0	1659.0
GSE154778	GSM4679533_Y00006	ok	786	32738	786	32738	1878.5	46.0
GSE154778	GSM4679534_T2	ok	837	32738	837	32738	9804.0	2526.0
GSE154778	GSM4679535_T3	ok	1026	32738	1026	32738	585.5	375.0
GSE154778	GSM4679536_T4	ok	913	32738	913	32738	3346.0	1284.0
GSE154778	GSM4679537_T5	ok	769	32738	769	32738	9784.0	2754.0
GSE154778	GSM4679538_T6	ok	1098	32738	1098	32738	7695.5	2238.0
GSE154778	GSM4679539_T8	ok	1139	32738	1139	32738	9579.0	2632.0
GSE154778	GSM4679540_T9	ok	898	32738	898	32738	5794.0	1798.5
GSE154778	GSM4679541_T10	ok	1570	32738	1570	32738	7226.5	2141.5
GSE154778	GSM4679542_Y00008	ok	533	32738	533	32738	18367.0	3836.0
GSE154778	GSM4679543_Y00013	ok	745	35635	745	35635	6250.0	2152.0
GSE154778	GSM4679544_Y00014	ok	526	35635	526	35635	2381.0	44.0
GSE154778	GSM4679545_Y00016	ok	272	35635	272	35635	4428.5	1483.5
GSE154778	GSM4679546_Y00019	ok	2905	35635	2905	35635	7062.0	2297.0
GSE154778	GSM4679547_Y00027	ok	2484	35635	2484	35635	4685.5	1779.5
GSE155698	PDAC_TISSUE_1	ok	1633	32738	1633	32738	7708.0	2192.0
GSE155698	PDAC_TISSUE_2	ok	1791	32738	1791	32738	5355.0	2066.0
GSE155698	PDAC_TISSUE_3	ok	2564	32738	2564	32738	6409.0	1847.0
GSE155698	PDAC_TISSUE_4	ok	2473	32738	2473	32738	4666.0	1501.0
GSE155698	PDAC_TISSUE_5	ok	1867	32738	1867	32738	5495.0	1632.0
GSE155698	PDAC_TISSUE_6	ok	2343	32738	2343	32738	6377.0	1888.0
GSE155698	PDAC_TISSUE_7	ok	7949	32738	7949	32738	7425.0	2188.0
GSE155698	PDAC_TISSUE_8	ok	4633	32738	4633	32738	6213.0	1876.0
GSE155698	PDAC_TISSUE_9	ok	4381	32738	4381	32738	2388.0	979.0
GSE155698	PDAC_TISSUE_10	ok	1464	32738	1464	32738	3519.5	1312.5
GSE155698	PDAC_TISSUE_11A	ok	4333	32738	4333	32738	1174.0	599.0
GSE155698	PDAC_TISSUE_11B	ok	2308	32738	2308	32738	2984.0	887.5
GSE155698	PDAC_TISSUE_12	ok	1668	32738	1668	32738	5590.5	1839.5
GSE155698	PDAC_TISSUE_13	ok	5108	32738	5108	32738	7356.5	2236.0
GSE155698	PDAC_TISSUE_15	ok	3093	32738	3093	32738	12700.0	3509.0
GSE155698	AdjNorm_TISSUE_1	ok	4969	32738	4969	32738	3872.0	1286.0
GSE155698	AdjNorm_TISSUE_2	ok	3590	32738	3590	32738	2660.0	749.0
GSE155698	AdjNorm_TISSUE_3	ok	2344	32738	2344	32738	1520.0	117.5
GSE155698	PDAC_PBMC_1	ok	2661	32738	2661	32738	4969.0	1621.0
GSE155698	PDAC_PBMC_2	ok	3402	32738	3402	32738	2068.5	934.5
GSE155698	PDAC_PBMC_3	ok	3512	32738	3512	32738	4838.5	1457.5
GSE155698	PDAC_PBMC_4	ok	5617	32738	5617	32738	1296.0	660.0
GSE155698	PDAC_PBMC_5	ok	4678	32738	4678	32738	1508.0	772.0
GSE155698	PDAC_PBMC_6	ok	3366	32738	3366	32738	2550.5	996.5
GSE155698	PDAC_PBMC_7	ok	4599	32738	4599	32738	5813.0	1768.0
GSE155698	PDAC_PBMC_8	ok	5727	32738	5727	32738	2556.0	951.0
GSE155698	PDAC_PBMC_9	ok	3923	32738	3923	32738	2655.0	1114.0
GSE155698	PDAC_PBMC_10A	ok	5983	32738	5983	32738	1731.0	867.0
GSE155698	PDAC_PBMC_10B	ok	718	32738	718	32738	5546.5	1721.0
GSE155698	PDAC_PBMC_11	ok	2338	32738	2338	32738	2358.5	671.0
GSE155698	PDAC_PBMC_12	ok	2811	32738	2811	32738	6547.0	1859.0
GSE155698	PDAC_PBMC_13	ok	1072	32738	1072	32738	5718.5	1951.0
GSE155698	PDAC_PBMC_14	ok	7590	32738	7590	32738	793.0	427.0
GSE155698	PDAC_PBMC_15	ok	3637	32738	3637	32738	4484.0	1568.0
GSE155698	Healthy_PBMC_1	ok	3695	32738	3695	32738	6082.0	1775.0
