direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
from_endothelial	endothelial	B_cell	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.0012640249281807	0.0
from_endothelial	endothelial	myeloid	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.001018366864416	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A1	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0008529801526348	0.0
to_endothelial	fibroblast_CAF	endothelial	FN1	ITGA5_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0008325306460731	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A2	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0008262114036346	0.0
from_endothelial	endothelial	B_cell	MIF	CD74_CXCR4	MIF	3	GSE154778,GSE155698,GSE212966	0.000661244266668	0.0
from_endothelial	endothelial	CD8	HLA-B	CD8A	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0006381505319365	0.0
from_endothelial	endothelial	epithelial	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.0006177254421003	0.0
from_endothelial	endothelial	CD8	HLA-A	CD8A	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0006132861331894	0.0
from_endothelial	endothelial	myeloid	COL4A1	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0006005169561306	0.0
to_endothelial	myeloid	endothelial	NAMPT	ITGA5_ITGB1	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0005981220889604	0.0
from_endothelial	endothelial	CD8	COL4A1	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0005910406541184	0.0
from_endothelial	endothelial	mast	COL4A1	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0005822179587205	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0005727104193788	0.0
to_endothelial	myeloid	endothelial	NAMPT	INSR	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0005636649577862	0.0
