pdb_id	compound	affinity_best_kcal_mol	affinity_all_modes_kcal_mol	n_modes	exhaustiveness	num_modes_requested	energy_range	cpu	return_code	status
5TBM	BRD-K56751279	-6.276	-6.276;-6.107;-6.052;-5.938;-5.409;-5.253;-4.431;-3.802;-1.607	9	16	9	10	8	0	completed
5TBM	BRD-K81916719	-5.545	-5.545;-4.797;-4.579;-4.331;-1.895;-1.856;-1.610;-0.669;0.621	9	16	9	10	8	0	completed
6CZW	BRD-K56751279	-6.402	-6.402;-6.268;-5.805;-5.330;-4.301;-3.403;-1.993;-1.293	8	16	9	10	8	0	completed
6CZW	BRD-K81916719	-6.967	-6.967;-5.918;-5.554;-5.357;-5.343;-4.592;-4.510;-3.082;-1.574	9	16	9	10	8	0	completed
6D09	BRD-K56751279	-6.174	-6.174;-5.861;-5.814;-5.657;-5.483;-5.155	6	16	9	10	8	0	completed
6D09	BRD-K81916719	-5.445	-5.445;-4.343;-3.975;-3.252;-2.778;-2.681;-1.476;0.446;0.521	9	16	9	10	8	0	completed
6D0B	BRD-K56751279	-7.729	-7.729;-6.114;-5.921;-4.941;-3.114;-2.637	6	16	9	10	8	0	completed
6D0B	BRD-K81916719	-6.491	-6.491;-5.070;-4.723;-4.692;-2.973;-1.786;-1.778;0.351;0.717	9	16	9	10	8	0	completed
6X21	BRD-K56751279	-6.182	-6.182;-5.349;-4.967;-4.676;-1.156;-0.045;0.556;2.422;3.410	9	16	9	10	8	0	completed
6X21	BRD-K81916719	-6.126	-6.126;-5.221;-3.599;-3.360;-2.167;-1.006;-0.876;-0.054;0.488	9	16	9	10	8	0	completed
