pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	program
endothelial_junction	0.0001245485116452	0.0004248921427637	0.886135264903394	1.7627833279957	0	9	ENG|VWF|KDR|EMCN|PECAM1|PLVAP|RAMP2|CLDN5|ESAM	T_NK
angiogenesis	0.0001307360439273	0.0004248921427637	0.93360193414162	1.75790530492831	0	7	ENG|VWF|KDR|EMCN|PECAM1|EPAS1	T_NK
T_exhaustion	0.0001307360439273	0.0004248921427637	0.905806068405682	1.7055676886002	0	7	HAVCR2|ENTPD1|CTLA4|TIGIT|PDCD1|LAG3|TOX	T_NK
cytotoxic_TNK	0.0001307360439273	0.0004248921427637	0.903894449129469	1.70196824697121	0	7	GZMH|GZMB|NKG7|CD8A|CTSW|PRF1	T_NK
myeloid_inflammation	0.0002440512507626	0.0006345332519829	0.875118688279993	1.78105029770205	1	10	TYROBP|FCN1|LST1|CCL3|CCL2|S100A8|CTSS|IL1B|S100A9	T_NK
CAF_ECM	0.0005074854097944	0.0009711820406028	0.868103220696938	1.68231502912719	3	8	DCN|LUM|SPARC|COL3A1|COL1A2|CTHRC1|COL1A1|FN1	T_NK
IFN_gamma	0.0005229441757092	0.0009711820406028	0.873919553677239	1.64552767438543	3	7	GZMB|IDO1|CXCL9|CXCL10|IFNG|STAT1	T_NK
TGFb_fibrosis	0.0006101281269066	0.0009914582062233	0.830257019619806	1.68974738143172	4	10	TGFBR2|COL3A1|SERPINE1|SMAD2|SMAD4|TGFBR1|CTHRC1|COL1A1	T_NK
glycolysis	0.0015205271160669	0.0017992664529076	-0.808067785748383	-2.13295791544602	2	9	ALDOA|GAPDH|SLC2A1|HK2|LDHA|PKM|PGK1	T_NK
antigen_presentation	0.0013700336280981	0.0017992664529076	0.82694170156333	1.64502994348064	10	9	CD74|HLA-DRB1|HLA-DRA|B2M|HLA-B|TAP1|TAP2|HLA-C	T_NK
TNF_NFkB	0.0015224562293834	0.0017992664529076	0.844544362072336	1.63665983399794	11	8	TNFAIP3|ICAM1|NFKBIA|NFKB1|TNF|CXCL8	T_NK
oxidative_phosphorylation	0.0028301886792452	0.003066037735849	-0.779819417578599	-1.96660775001079	5	8	CYC1|UQCRC1|COX4I1|ATP5MC1|NDUFV1|SDHA	T_NK
hypoxia	0.290927521540801	0.290927521540801	-0.430246593094874	-1.13566942343269	573	9	CA9|SLC2A1|ADM|LDHA|VEGFA|NDRG1	T_NK
endothelial_junction	0.0001205109664979	0.0005474145191173	0.949131288465029	1.80381501706364	0	9	ENG|VWF|KDR|PLVAP|RAMP2|EMCN|PECAM1|CLDN5|ESAM	endothelial
TGFb_fibrosis	0.0001183712121212	0.0005474145191173	0.901210842866841	1.74462160895326	0	10	TGFBR2|COL3A1|SERPINE1|SMAD2|TGFBR1|COL1A1|SMAD4|CTHRC1|TGFB1	endothelial
angiogenesis	0.0001263264274886	0.0005474145191173	0.931616612007502	1.68253408969343	0	7	ENG|VWF|EPAS1|KDR|EMCN|PECAM1	endothelial
T_exhaustion	0.0002526528549772	0.000821121778676	0.919632397828705	1.66089015523142	1	7	HAVCR2|ENTPD1|CTLA4|TIGIT|PDCD1|TOX|LAG3	endothelial
CAF_ECM	0.0007403751233958	0.0019249753208292	0.882078273495248	1.63485911425069	5	8	DCN|SPARC|LUM|COL3A1|COL1A2|COL1A1|CTHRC1|FN1	endothelial
glycolysis	0.0011737089201877	0.0021158854166666	-0.8196216118007	-2.09579866778686	1	9	GAPDH|ALDOA|HK2|PGK1|SLC2A1|LDHA|PKM|ENO1	endothelial
myeloid_inflammation	0.0013020833333333	0.0021158854166666	0.843512772560336	1.63292599294023	10	10	TYROBP|LST1|FCN1|CCL2|CCL3|S100A8|CTSS|IL1B|S100A9	endothelial
cytotoxic_TNK	0.0012632642748863	0.0021158854166666	0.883313416368177	1.59529673018654	9	7	GZMH|NKG7|CD8A|PRF1|CTSW|GZMB	endothelial
oxidative_phosphorylation	0.0021074815595363	0.0030441400304414	-0.822986430615199	-2.00669742640257	3	8	CYC1|UQCRC1|ATP5MC1|COX4I1|SDHA|NDUFV1	endothelial
IFN_gamma	0.0144012127337039	0.0187215765538151	0.820329982389305	1.48154631677661	113	7	CXCL9|GZMB|IDO1|IFNG|STAT1|CXCL10	endothelial
antigen_presentation	0.0192817546396722	0.0224580454096742	0.774112345542833	1.47119317501666	159	9	CD74|HLA-DRA|HLA-DRB1|B2M|HLA-B|TAP1|TAP2|HLA-C	endothelial
TNF_NFkB	0.0207305034550839	0.0224580454096742	0.787997973815364	1.46048906113326	167	8	TNFAIP3|ICAM1|NFKBIA|NFKB1|TNF|CXCL8	endothelial
hypoxia	0.355046948356808	0.355046948356808	-0.410415732960976	-1.04944615172926	604	9	CA9|ADM|SLC2A1|LDHA|VEGFA	endothelial
