module	trait	rho	p	padj
ME10	T_NK	0.136509246975038	0.0692256419736241	0.0967985671665082
ME7	T_NK	-0.300015213915094	4.72910592493401e-05	0.0001164630563603
ME3	T_NK	-0.240493696864338	0.0012225227412869	0.0025214531539044
ME5	T_NK	-0.0698212311780996	0.354394360676055	0.408916570010833
ME0	T_NK	0.0499005775968185	0.508305452829066	0.562888588703329
ME9	T_NK	0.658299722638625	1.7706975952544502e-23	3.24627892463315e-22
ME1	T_NK	0.832974618295637	4.16380452342585e-47	1.71756936591316e-45
ME6	T_NK	0.448626438805484	3.37977929519837e-10	1.7989147861539702e-09
ME4	T_NK	0.184459677273496	0.0137070830716419	0.0221732226158913
ME2	T_NK	0.34082893495147	3.23445907397746e-06	1.00695424001185e-05
ME8	T_NK	0.296717092461239	5.77650356939836e-05	0.0001381337810073
ME10	endothelial	0.151146522769273	0.0440174893767053	0.0666319793317099
ME7	endothelial	-0.302394117002454	4.08746679470793e-05	0.0001021866698676
ME3	endothelial	-0.220630494430962	0.0030824249971868	0.005714608140852
ME5	endothelial	-0.130374741070868	0.0828165391263301	0.112931644263177
ME0	endothelial	-0.0439426807769523	0.560284147865065	0.596431512243456
ME9	endothelial	0.750396040551999	1.8010629553610798e-33	5.94350775269157e-32
ME1	endothelial	0.844396757627438	1.3927300797531e-49	7.66001543864205e-48
ME6	endothelial	0.502249638004573	9.14145823562357e-13	6.2847525369912e-12
ME4	endothelial	0.264650840648602	0.0003571550951276	0.0007963593337305
ME2	endothelial	0.451871364752019	2.43133412930153e-10	1.3372337711158402e-09
ME8	endothelial	0.439006563261693	8.794678583181531e-10	4.53475614445298e-09
ME10	CAF_ECM	-0.0225751093965608	0.764859404215999	0.788761260597749
ME7	CAF_ECM	-0.296470265307273	5.86307213603968e-05	0.0001382009860637
ME3	CAF_ECM	0.0303437812856077	0.687627383116228	0.718091887431504
ME5	CAF_ECM	-0.101325738433435	0.178368284558426	0.224662343146109
ME0	CAF_ECM	-0.222273171697011	0.0028637589000264	0.0053695479375495
ME9	CAF_ECM	0.43000588342311	2.0953096704515e-09	1.04765483522575e-08
ME1	CAF_ECM	0.374361254945852	2.63491406146415e-07	9.66135155870187e-07
ME6	CAF_ECM	0.929164862452377	5.55239261109548e-78	9.16144780830755e-76
ME4	CAF_ECM	-0.0970892482304514	0.197309721699035	0.244782737446171
ME2	CAF_ECM	-0.119561158342811	0.111921848404371	0.145410275485994
ME8	CAF_ECM	-0.0056270207643343	0.940576342617324	0.940576342617324
ME10	IFN_gamma	0.054805203371744	0.467478698149099	0.524720987718377
ME7	IFN_gamma	-0.323972342591834	1.02682339553117e-05	2.92113552176971e-05
ME3	IFN_gamma	-0.0792176855911457	0.293211535050545	0.345570737738142
ME5	IFN_gamma	-0.0541881354868293	0.472514073150434	0.526789338309605
ME0	IFN_gamma	-0.122531595471573	0.103227565480546	0.13626038643432
ME9	IFN_gamma	0.304794298292743	3.52373863674761e-05	8.94487500097469e-05
ME1	IFN_gamma	0.570390955061499	9.47585398363981e-17	8.68619948500316e-16
ME6	IFN_gamma	0.311845894743114	2.26138208148087e-05	6.01819424910231e-05
ME4	IFN_gamma	0.146871731801019	0.050426255819751	0.0756393837296266
ME2	IFN_gamma	0.0366336180711522	0.627340834766385	0.663533575233676
ME8	IFN_gamma	0.106415484573835	0.157428057792738	0.201361469269781
ME10	TGFb_fibrosis	-0.0736810971892558	0.328355297279994	0.384245560646802
ME7	TGFb_fibrosis	-0.408199981062399	1.54917175997537e-08	6.39033350989841e-08
ME3	TGFb_fibrosis	-0.180021044142696	0.0161929625959126	0.0259401827992775
ME5	TGFb_fibrosis	-0.273672798690114	0.0002187241521661	0.0004943765083206
ME0	TGFb_fibrosis	-0.343916402196336	2.59820413378461e-06	8.40595455047963e-06
ME9	TGFb_fibrosis	0.553525851420693	1.1173048208932001e-15	9.217764772368871e-15
ME1	TGFb_fibrosis	0.573372031291725	6.036543656780591e-17	5.85899825511057e-16
ME6	TGFb_fibrosis	0.741246413292919	2.73103792962067e-32	7.51035430645684e-31
ME4	TGFb_fibrosis	0.159798240079836	0.0331167370160076	0.0505950148855671
ME2	TGFb_fibrosis	0.166968994466603	0.0259064585927582	0.0399492118486459
ME8	TGFb_fibrosis	0.204669714414599	0.0061351697146355	0.0112478111434986
ME10	TNF_NFkB	-0.0805709792973725	0.285017036822576	0.340781239679167
ME7	TNF_NFkB	-0.194866846325627	0.0091454711003407	0.0157187784537106
ME3	TNF_NFkB	0.0471918623640722	0.531622739605274	0.580912265131591
ME5	TNF_NFkB	-0.0460130499218558	0.541935482445517	0.588285227654673
ME0	TNF_NFkB	-0.145226926714677	0.0530904026661325	0.0789181661253321
ME9	TNF_NFkB	0.252330761153236	0.0006789331632612	0.0014255657038804
ME1	TNF_NFkB	0.451994778329001	2.40090272924515e-10	1.3372337711158402e-09
ME6	TNF_NFkB	0.412168365908489	1.0878201918136e-08	4.60231619613445e-08
ME4	TNF_NFkB	0.0856032742898666	0.255901911009173	0.308203031507398
ME2	TNF_NFkB	-0.0283202241871461	0.70747289132653	0.734169981565267
ME8	TNF_NFkB	0.0941911569916451	0.211082079279668	0.259914500605562
ME10	T_exhaustion	0.119710105763308	0.111472668627383	0.145410275485994
ME7	T_exhaustion	-0.415934607826761	7.744214307899911e-09	3.36261937053549e-08
ME3	T_exhaustion	-0.336445625148282	4.39661093007728e-06	1.31898327902318e-05
ME5	T_exhaustion	-0.259335545557164	0.0004730150220517	0.0010406330485139
ME0	T_exhaustion	-0.198305403918807	0.0079664242776149	0.0138364211137523
ME9	T_exhaustion	0.587813547619022	6.3595203328678494e-18	6.55825534326997e-17
ME1	T_exhaustion	0.868730510496006	1.35960838952822e-55	1.12167692136078e-53
ME6	T_exhaustion	0.463802053133801	7.02753035606426e-11	4.29460188426149e-10
