patient_id	sample_id	genes_detected	library_size	mapped_to_reference
TCGA-IB-7888	TCGA-IB-7888-01A	30983	39608016	60616
TCGA-FB-A78T	TCGA-FB-A78T-01A	34795	54986232	60616
TCGA-2J-AABI	TCGA-2J-AABI-01A	33893	61526273	60616
TCGA-HZ-7918	TCGA-HZ-7918-01A	31757	57046825	60616
TCGA-2J-AABO	TCGA-2J-AABO-01A	30064	28125462	60616
TCGA-IB-AAUN	TCGA-IB-AAUN-01A	32785	40816699	60616
TCGA-HZ-7924	TCGA-HZ-7924-01A	34614	81724637	60616
TCGA-3A-A9I7	TCGA-3A-A9I7-01A	33634	53455287	60616
TCGA-FB-AAPY	TCGA-FB-AAPY-01A	33427	44307533	60616
TCGA-RB-A7B8	TCGA-RB-A7B8-01A	33424	42415710	60616
TCGA-FB-A545	TCGA-FB-A545-01A	31620	28244896	60616
TCGA-2J-AABK	TCGA-2J-AABK-01A	34990	53060771	60616
TCGA-FB-AAQ6	TCGA-FB-AAQ6-01A	28573	22753061	60616
TCGA-PZ-A5RE	TCGA-PZ-A5RE-01A	31556	55536456	60616
TCGA-US-A779	TCGA-US-A779-01A	32051	43150128	60616
TCGA-IB-AAUM	TCGA-IB-AAUM-01A	33566	47588047	60616
TCGA-IB-A7M4	TCGA-IB-A7M4-01A	32063	43037193	60616
TCGA-3A-A9IU	TCGA-3A-A9IU-01A	33378	51876067	60616
TCGA-2J-AABV	TCGA-2J-AABV-01A	26048	40098007	60616
TCGA-HV-AA8X	TCGA-HV-AA8X-01A	32066	48836446	60616
TCGA-US-A77G	TCGA-US-A77G-01A	32644	45371263	60616
TCGA-IB-AAUU	TCGA-IB-AAUU-01A	33268	48722793	60616
TCGA-2J-AABE	TCGA-2J-AABE-01A	31564	35136645	60616
TCGA-HZ-8636	TCGA-HZ-8636-01A	37293	65844439	60616
TCGA-HV-AA8V	TCGA-HV-AA8V-01A	33607	49659246	60616
TCGA-HV-A5A5	TCGA-HV-A5A5-01A	31363	38362571	60616
TCGA-XN-A8T5	TCGA-XN-A8T5-01A	32681	35723069	60616
TCGA-HZ-7926	TCGA-HZ-7926-01A	34194	69878177	60616
TCGA-3A-A9IH	TCGA-3A-A9IH-01A	33615	57223830	60616
TCGA-2J-AAB8	TCGA-2J-AAB8-01A	29818	22365810	60616
TCGA-HZ-8005	TCGA-HZ-8005-01A	29764	53519169	60616
TCGA-IB-8126	TCGA-IB-8126-01A	32854	55624608	60616
TCGA-LB-A7SX	TCGA-LB-A7SX-01A	35740	47676735	60616
TCGA-IB-AAUS	TCGA-IB-AAUS-01A	33285	47685399	60616
TCGA-OE-A75W	TCGA-OE-A75W-01A	31207	46922163	60616
TCGA-HV-A7OP	TCGA-HV-A7OP-01A	30673	31659909	60616
TCGA-2J-AABF	TCGA-2J-AABF-01A	35496	57959637	60616
TCGA-HZ-A9TJ	TCGA-HZ-A9TJ-01A	31111	41180582	60616
TCGA-2L-AAQI	TCGA-2L-AAQI-01A	33071	44958887	60616
TCGA-XD-AAUH	TCGA-XD-AAUH-01A	32218	39060058	60616
TCGA-IB-7887	TCGA-IB-7887-01A	34396	62415112	60616
TCGA-FB-AAPZ	TCGA-FB-AAPZ-01A	30315	29906647	60616
TCGA-FB-AAQ1	TCGA-FB-AAQ1-01A	31363	46102565	60616
TCGA-FB-AAQ2	TCGA-FB-AAQ2-01A	31737	47935684	60616
TCGA-HZ-A8P0	TCGA-HZ-A8P0-01A	32851	37800811	60616
TCGA-F2-6879	TCGA-F2-6879-01A	33883	69507804	60616
TCGA-3A-A9I5	TCGA-3A-A9I5-01A	31512	39433270	60616
TCGA-3E-AAAZ	TCGA-3E-AAAZ-01A	33970	59666435	60616
TCGA-IB-A5SP	TCGA-IB-A5SP-01A	32167	44019017	60616
TCGA-3A-A9IX	TCGA-3A-A9IX-01A	33404	56901317	60616
TCGA-HZ-8317	TCGA-HZ-8317-01A	33457	58497508	60616
TCGA-FB-A4P5	TCGA-FB-A4P5-01A	30880	28805785	60616
TCGA-2L-AAQJ	TCGA-2L-AAQJ-01A	31836	47106539	60616
TCGA-FB-AAPQ	TCGA-FB-AAPQ-01A	29113	26000635	60616
TCGA-US-A77J	TCGA-US-A77J-01A	31674	37170820	60616
TCGA-HZ-7923	TCGA-HZ-7923-01A	37134	66094436	60616
TCGA-IB-7654	TCGA-IB-7654-01A	32671	77907782	60616
TCGA-HZ-7920	TCGA-HZ-7920-01A	34823	65745194	60616
TCGA-HV-A7OL	TCGA-HV-A7OL-01A	30316	39574548	60616
TCGA-IB-AAUP	TCGA-IB-AAUP-01A	34977	49893944	60616
TCGA-FB-AAPS	TCGA-FB-AAPS-01A	33673	37148995	60616
TCGA-IB-AAUO	TCGA-IB-AAUO-01A	34957	47301053	60616
