sample	patient	n_spots	n_in_tissue	n_position_matched	n_genes_median	total_counts_median	n_endo_up	n_endo_down	n_vascular_markers	EPAS1_vascular_rho	EPAS1_program_rho	program_vascular_rho	image_present	scalefactor_present
GSM8641003_C1_D10_ROI1_s1	D10	3150	3150	3150	2384.5	4846.5	7	17	3	0.156112164749604	-0.0994425462645409	-0.145133070868635	True	True
GSM8641004_C1_D10_ROI2_s1	D10	3826	3826	3826	3741.0	12484.0	7	17	3	0.145822216869753	-0.0347520466388665	-0.0557897212113561	True	True
GSM8641005_C1_D11_ROI1_s1	D11	3536	3536	3536	5100.5	14253.0	7	17	3	0.121421499343577	-0.0114848637642034	0.03467426790227	True	True
GSM8641006_C1_D11_ROI2_s1	D11	3664	3664	3664	4734.5	12038.5	7	17	3	0.138610535982969	0.0032683132723495	0.0267934027425543	True	True
GSM8641007_C1_D12_ROI1_s1	D12	4440	4440	4440	2415.0	5139.5	7	17	3	0.142049119522252	0.0113219565338791	0.0548750832187259	True	True
GSM8641008_C1_D12_ROI2_s1	D12	3706	3706	3706	3205.0	6973.0	7	17	3	0.237964082933689	0.0100363620356773	0.102512860945415	True	True
GSM8641009_C1_D13_ROI1_s1	D13	4105	4105	4105	3206.0	7491.0	7	17	3	0.147448092333382	0.0950955802967958	0.0932145699419442	True	True
GSM8641010_C1_D13_ROI2_s1	D13	4647	4647	4647	3924.0	9343.0	7	17	3	0.0913020295879215	-0.0260724842641036	-0.0242011071328231	True	True
GSM8641011_C1_D14_ROI1_s1	D14	3824	3824	3824	3059.0	6118.5	7	17	3	0.0788716450333636			True	True
GSM8641012_C1_D14_ROI2_s1	D14	4261	4261	4261	4889.0	13239.0	7	17	3	0.123364292502598	0.0175109596862047	0.0955029421919971	True	True
GSM8641013_C1_D14_ROI3_s1	D14	3343	3343	3343	2476.0	4978.0	7	17	3	0.0777600735124275	0.0223964772322133	0.0008608687099867	True	True
GSM8641014_C1_D1_ROI1_s1	D1	1861	1861	1861	3117.0	6988.0	7	17	3	0.100562171315704	-0.0337672986014874	-0.0595834957965694	True	True
GSM8641015_C1_D2_ROI1_s1	D2	2302	2302	2302	848.0	1434.0	7	17	3	0.089092422783781	-0.0162794447268276	-0.0658451766235673	True	True
GSM8641016_C1_D3_ROI1_s1	D3	2141	2141	2141	4319.0	10415.0	7	17	3	0.200541618274483	0.0746390316492889	0.123184110606233	True	True
GSM8641017_C1_D4_ROI1_s1	D4	2979	2979	2979	3372.0	7686.0	7	17	3	0.174595702229527	0.0380953397506183	0.0701130329489617	True	True
