dataset	major_lineage	comparison	n_reference	n_tumor	edgeR_FDR05	DESeq2_FDR05	overlap_FDR05	jaccard_FDR05
GSE154778	epithelial	primary_vs_metastasis_exploratory	5	8	72	488	72	0.147540983606557
GSE154778	malignant_epithelial	primary_vs_metastasis_exploratory	4	7	45	434	44	0.101149425287356
GSE154778	myeloid	primary_vs_metastasis_exploratory	3	6	28	92	27	0.290322580645161
GSE155698	B_cell	primary_vs_adjacent_normal	2	14	53	61	32	0.390243902439024
GSE155698	T_NK	primary_vs_adjacent_normal	2	14	61	95	53	0.514563106796117
GSE155698	acinar	primary_vs_adjacent_normal	2	5	8	13	7	0.5
GSE155698	endothelial	primary_vs_adjacent_normal	2	4	32	71	26	0.337662337662338
GSE155698	mast	primary_vs_adjacent_normal	2	5	35	49	22	0.354838709677419
GSE155698	myeloid	primary_vs_adjacent_normal	2	14	23	32	20	0.571428571428571
GSE212966	B_cell	primary_vs_adjacent_normal	5	6	3	155	3	0.0193548387096774
GSE212966	CD8	primary_vs_adjacent_normal	5	6	9	197	9	0.0456852791878173
GSE212966	T_NK	primary_vs_adjacent_normal	5	6	51	510	51	0.1
GSE212966	endothelial	primary_vs_adjacent_normal	5	6	349	663	339	0.5037147102526
GSE212966	epithelial	primary_vs_adjacent_normal	4	6	1134	2520	1127	0.445983379501385
GSE212966	fibroblast_CAF	primary_vs_adjacent_normal	5	6	1104	2003	1094	0.543467461500248
GSE212966	mast	primary_vs_adjacent_normal	3	5	0	14	0	0.0
GSE212966	myeloid	primary_vs_adjacent_normal	5	6	278	1035	276	0.266152362584378
