gene_id	direction	median_logFC	mean_abs_logFC	n_FDR05	gse62452_logFC	gse62452_P	gse62452_FDR	gse71729_logFC	gse71729_P	gse71729_FDR	expected_sign	sign_62452	sign_71729	external_FDR_both	external_direction_both	target_priority	evidence_score	priority_order
CASC15	tumor_up	3.93224733402	3.93303881585344	4							1			False			-inf	
CA4	tumor_down	-8.38509788599803	8.30648898837212	3	-0.437702465011993	2.65944835639935e-06	2.65944835639935e-06	-1.52883673163419	2.25192120466736e-10	6.57095500210715e-09	-1	True	True	True	True	Tier1	22.1426778316345	1.0
CTHRC1	tumor_up	3.14217585863954	3.15430807174771	3	0.969375109237457	2.0229326594403e-10	2.0229326594403e-10	1.75720629685158	5.52253041406605e-09	6.07478345547266e-08	1	True	True	True	True	Tier1	20.0526636311903	1.0
EPHX1	tumor_down	-1.81770669235701	1.81368428902004	3	-1.05643899388012	1.88188519060374e-09	1.88188519060374e-09	-0.716337331334336	3.98239697097403e-10	6.57095500210715e-09	-1	True	True	True	True	Tier1	18.7254850745915	1.0
LEF1	tumor_up	2.8743985665714	2.86631522210287	3	1.53209681254602	2.5518405036378104e-09	2.5518405036378104e-09	0.684214992503752	9.437417156540041e-09	7.78586915414553e-08	1	True	True	True	True	Tier1	18.576237939273	1.0
C1QTNF6	tumor_up	3.9892986268396	4.34721392027428	3	0.14661608627893	0.0132491017181307	0.0132491017181307	0.744824587706149	6.55409324359839e-06	2.45507819584136e-05	1	True	True	True	True	Tier1	10.4770468632559	1.0
DNASE1L3	tumor_down	-3.55922830549268	3.52966657190339	4	-0.325928882063258	0.0018474347123643	0.0018474347123643	-0.725600899550227	0.0003083802763815	0.0006784366080393	-1	True	True	True	True	Tier1	9.46114993180032	1.0
TACC1	tumor_down	-1.59951632830091	1.60082298974933	3	-0.214807464648102	0.0084916387255934	0.0084916387255934	-0.558406896551726	3.81271204321034e-07	2.09699162376569e-06	-1	True	True	True	True	Tier1	9.34892812363113	1.0
AQP7	tumor_down	-3.12628713137885	3.11600654162577	4	-0.35033952106124	0.0016323927687557	0.0016323927687557	-0.385261769115444	0.000152412764641	0.0003868939410118	-1	True	True	True	True	Tier1	9.32587054066412	1.0
BTNL9	tumor_down	-2.63412516358156	2.64360117130093	3	-0.317261512042812	8.38719322723869e-05	8.38719322723869e-05	-0.344489205397304	0.0021047216166914	0.0033074196833722	-1	True	True	True	True	Tier1	9.19101920833391	1.0
