dataset	gsm	tissue_context	patient_id	cnv_role	sampled_cells	aneuploid_cells	aneuploid_fraction
GSE154778	GSM4679532	primary_tumor	P01	tumor_or_metastasis	97	48	0.494845360824742
GSE154778	GSM4679533	primary_tumor	P02	tumor_or_metastasis	99	27	0.272727272727273
GSE154778	GSM4679534	primary_tumor	P03	tumor_or_metastasis	100	77	0.77
GSE154778	GSM4679535	primary_tumor	P04	tumor_or_metastasis	98	0	0.0
GSE154778	GSM4679536	primary_tumor	P05	tumor_or_metastasis	100	0	0.0
GSE154778	GSM4679537	primary_tumor	P06	tumor_or_metastasis	100	48	0.48
GSE154778	GSM4679538	primary_tumor	P07	tumor_or_metastasis	98	16	0.163265306122449
GSE154778	GSM4679539	primary_tumor	P08	tumor_or_metastasis	100	65	0.65
GSE154778	GSM4679540	primary_tumor	P09	tumor_or_metastasis	100	17	0.17
GSE154778	GSM4679541	primary_tumor	P10	tumor_or_metastasis	100	81	0.81
GSE154778	GSM4679542	metastasis	MET01	reference_context	50	47	0.94
GSE154778	GSM4679543	metastasis	MET02	reference_context	50	46	0.92
GSE154778	GSM4679544	metastasis	MET03	reference_context	43	9	0.209302325581395
GSE154778	GSM4679545	metastasis	MET04	reference_context	50	14	0.28
GSE154778	GSM4679546	metastasis	MET05	reference_context	50	46	0.92
GSE154778	GSM4679547	metastasis	MET06	reference_context	50	47	0.94
GSE155698	GSM4710689	primary_tumor	1	tumor_or_metastasis	82	26	0.317073170731707
GSE155698	GSM4710690	primary_tumor	2	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710691	primary_tumor	3	tumor_or_metastasis	100	19	0.19
GSE155698	GSM4710692	primary_tumor	4	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710693	primary_tumor	5	tumor_or_metastasis	97	0	0.0
GSE155698	GSM4710694	primary_tumor	6	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710695	primary_tumor	7	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710696	primary_tumor	8	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710697	primary_tumor	9	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710698	primary_tumor	10	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710699	primary_tumor	11	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710700	primary_tumor	11	tumor_or_metastasis	99	10	0.101010101010101
GSE155698	GSM4710701	primary_tumor	12	tumor_or_metastasis	84	0	0.0
GSE155698	GSM4710702	primary_tumor	13	tumor_or_metastasis	100	0	0.0
GSE155698	GSM4710704	primary_tumor	15	tumor_or_metastasis	99	16	0.161616161616162
GSE155698	GSM4710706	adjacent_normal	1	reference_context	50	0	0.0
GSE155698	GSM4710707	adjacent_normal	2	reference_context	49	0	0.0
GSE155698	GSM4710708	adjacent_normal	3	reference_context	48	0	0.0
GSE212966	GSM6567157	primary_tumor	PDAC1	tumor_or_metastasis	97	0	0.0
GSE212966	GSM6567159	primary_tumor	PDAC2	tumor_or_metastasis	98	0	0.0
GSE212966	GSM6567160	primary_tumor	PDAC3	tumor_or_metastasis	100	0	0.0
GSE212966	GSM6567161	primary_tumor	PDAC4	tumor_or_metastasis	100	0	0.0
GSE212966	GSM6567163	primary_tumor	PDAC5	tumor_or_metastasis	100	0	0.0
GSE212966	GSM6567164	primary_tumor	PDAC6	tumor_or_metastasis	97	12	0.123711340206186
GSE212966	GSM6567165	adjacent_normal	ADJ1	reference_context	50	0	0.0
GSE212966	GSM6567166	adjacent_normal	ADJ2	reference_context	50	0	0.0
GSE212966	GSM6567167	adjacent_normal	ADJ3	reference_context	50	0	0.0
GSE212966	GSM6567169	adjacent_normal	ADJ4	reference_context	47	0	0.0
GSE212966	GSM6567170	adjacent_normal	ADJ5	reference_context	47	0	0.0
GSE212966	GSM6567171	adjacent_normal	ADJ6	reference_context	50	0	0.0
