gene	logFC	P.Value	adj.P.Val
PRX	-0.0846065768487172	0.0787483690317481	0.0787483690317481
DNASE1L3	-0.325928882063258	0.0018474347123643	0.0018474347123643
FGL2	-0.108530728519672	0.586764765577296	0.586764765577296
BCAT1	-0.468416755896926	0.0154360706133243	0.0154360706133243
AQP7	-0.35033952106124	0.0016323927687557	0.0016323927687557
ADRB2	-0.223847099943603	0.0006732289636775	0.0006732289636775
SLCO4A1	0.629377080304278	5.5986696363083e-10	5.5986696363083e-10
CA4	-0.437702465011993	2.65944835639935e-06	2.65944835639935e-06
C1QTNF6	0.14661608627893	0.0132491017181307	0.0132491017181307
SESN3	-0.0265133599711096	0.861039070646768	0.861039070646768
CTHRC1	0.969375109237457	2.0229326594403e-10	2.0229326594403e-10
LEF1	1.53209681254602	2.5518405036378104e-09	2.5518405036378104e-09
BTNL9	-0.317261512042812	8.38719322723869e-05	8.38719322723869e-05
SLC14A1	0.299221479566325	0.083729131985758	0.083729131985758
LHX6	-0.239645406489827	0.0001144366998998	0.0001144366998998
CTSH	0.317006599384749	0.0013585515305108	0.0013585515305108
CDC42EP4	-0.131839219289119	0.0408734217982452	0.0408734217982452
TIMP3	0.502616352894274	0.0011960746817563	0.0011960746817563
EPHX1	-1.05643899388012	1.88188519060374e-09	1.88188519060374e-09
HERPUD1	-0.462081651281218	0.0003856672303008	0.0003856672303008
RRAS	0.638982143582972	7.79661403087021e-08	7.79661403087021e-08
TACC1	-0.214807464648102	0.0084916387255934	0.0084916387255934
MARCKS	0.0478074646294639	0.302759896081487	0.302759896081487
GSN	0.183607156773327	0.269029079324374	0.269029079324374
EPAS1	-0.307733428602003	0.0075283529049815	0.0075283529049815
TNFSF13B	0.252831597492209	0.0131378442917312	0.0131378442917312
CD4	0.231545248644872	0.101790841451205	0.101790841451205
CCL3	-0.202961552099193	0.15409568679534	0.15409568679534
YPEL1	-0.199598559367851	0.001922558436319	0.001922558436319
CCL4	-0.247306007762241	0.107020705752634	0.107020705752634
PHACTR2	0.276274263082074	0.0074946855855365	0.0074946855855365
GSAP	0.297742753922233	0.0013502673169735	0.0013502673169735
AQP3	-0.188091804626812	0.137974277651567	0.137974277651567
LIMS1	0.465333342765939	1.12968773626067e-08	1.12968773626067e-08
