gene	n_datasets	n_sig	median_abs_Z	median_rank
EPAS1	3	3	2.69950340556281	1.0
NME2	1	1	1.5386160795737	2.0
ADGRF5	1	1	1.52750633540936	2.0
EEF1G	1	1	1.4777110841434	3.0
FAM167B	1	1	1.41583280518671	4.0
INSR	3	1	1.30718361501296	4.0
HLA-DRB1	3	1	1.14542617958902	15.0
FOSB	2	1	0.741937821365536	16.0
PRF1	3	1	1.5935605877069	17.0
IGFBP3	3	1	1.05380583896909	17.0
GSN	3	1	0.808741382494255	17.0
TNFAIP3	3	1	0.672521158814925	17.0
SPRY1	3	1	0.595255489848658	17.0
DDIT4	3	1	0.914860733739955	25.0
NR2F2	1	0	1.27836460694531	5.0
EFNB2	1	0	1.27798189698028	5.0
CCL14	1	0	1.37018174793875	7.0
GPR116	1	0	1.22693315347688	8.0
DNAJB1	1	0	1.28059091827127	10.0
KDR	3	0	1.22953594208392	10.0
ACKR1	1	0	1.23523090491937	12.0
DARC	2	0	0.817994903130786	12.5
RHOB	1	0	1.17305029868697	13.0
VAMP5	1	0	1.21936925204027	14.0
KLF6	2	0	0.983937097720204	15.0
ENPP2	1	0	1.1237727348532	16.0
CPE	2	0	1.02172603347291	16.0
TUBA1A	1	0	1.67769552520286	17.0
HSPB1	1	0	1.60516064255486	17.0
GNLY	3	0	1.31665994250671	17.0
RPS17	1	0	1.14415731701859	17.0
PODXL	3	0	1.12035970224029	17.0
RNASE1	1	0	1.10478429627002	17.0
CTSS	3	0	1.09686941952504	17.0
SELENOW	1	0	1.07287418723709	17.0
RPL17	1	0	1.03882541591743	17.0
RACK1	1	0	0.961293609685348	17.0
A2M	3	0	0.957221476902871	17.0
ICAM1	3	0	0.945264332785492	17.0
ATP5F1E	1	0	0.933752852390502	17.0
MT-ATP6	1	0	0.903264693525491	17.0
ID2	1	0	0.861585501011263	17.0
FLT1	3	0	0.861325784347278	17.0
MT-CO2	1	0	0.841394650092034	17.0
CST3	1	0	0.760503472461523	17.0
ALDOA	1	0	0.716772298777627	17.0
GNB2L1	1	0	0.715314036913965	17.0
MIF	1	0	0.713271489160113	17.0
ISG15	1	0	0.706191701301857	17.0
SOCS3	2	0	0.692893752926267	17.0
CCL2	3	0	0.678778079611357	17.0
MGST3	1	0	0.543890075569616	17.0
ID1	3	0	0.543742032975115	17.0
IFI6	1	0	0.520202651757871	17.0
MARCKSL1	1	0	0.519398582689731	17.0
MMP2	1	0	0.510263328946747	17.0
SAT1	3	0	0.469728769533834	17.0
TCEB2	1	0	0.42132564029705	17.0
IL32	1	0	0.395347949712377	17.0
ANGPT2	1	0	0.376111939479371	17.0
ATP5E	1	0	0.327381033259161	17.0
APLP2	1	0	0.298278246293108	17.0
BST2	1	0	0.294352282916926	17.0
CXCR4	1	0	0.289014010939187	17.0
YWHAH	1	0	0.264361032103695	17.0
LINC00152	1	0	0.218819735669553	17.0
NOTCH4	1	0	0.208452840210223	17.0
ESM1	1	0	0.186168685996012	17.0
MIR4435-1HG	1	0	0.171199033313901	17.0
MT-CO1	1	0	0.153194470973722	17.0
PTRF	1	0	0.151407786446168	17.0
HSP90B1	1	0	0.130899596037512	17.0
ADAMTS9	1	0	0.130133164683756	17.0
MLEC	1	0	0.0373711888667111	17.0
CXCL8	2	0	1.37630119375392	17.5
