dataset	within_dataset_rank	gene	Z	FC	p.value	p.adj	mean_log1p_cpm	n_endothelial_cells
GSE154778	1	EPAS1	2.18361354095642	887.841572716329	4.3145610422095e-195	7.464190603022429e-193	1.09829672190265	89
GSE154778	2	NME2	1.5386160795737	27.6495646395604	1.45404789105556e-07	1.25775142576306e-05	0.62759297131723	89
GSE154778	3	EEF1G	1.4777110841434	19.2852514420453	1.12572562530059e-05	0.0006491684439233	0.665754098054467	89
GSE154778	4	FAM167B	1.41583280518671	13.2855319271895	0.0002674621343406	0.0104907831279193	1.34409542384068	89
GSE154778	5	DDIT4	1.41240395466447	13.0113837616923	0.0003096030736254	0.0104907831279193	0.998474262486246	89
GSE154778	6	HLA-DRB1	1.40854518112263	12.7092969501487	0.0003638421894076	0.0104907831279193	1.13078615392341	89
GSE154778	7	FOSB	1.38595891743841	11.0705771149535	0.0008770837929153	0.0216764994534795	1.49934643952307	89
GSE154778	8	JUN	1.33011837902476	7.8376393775228	0.0051169384581468	0.110653794157425	1.29428752389281	89
GSE154778	9	SOCS3	1.32495980684819	7.58927947164166	0.0058716412258972	0.112865992453358	1.24834806150898	89
GSE154778	10	CD320	1.28641760087647	5.95674295485942	0.0146611010467976	0.241403201981369	0.905856065054385	89
GSE154778	11	DNAJB1	1.28059091827127	5.74112526431193	0.0165721721441398	0.241403201981369	1.06235271211014	89
GSE154778	12	HSPA1B	1.28008984301376	5.72293357464456	0.0167447307732742	0.241403201981369	1.15375621681195	89
GSE154778	13	HSPA1A	1.24844250259097	4.67873159022152	0.0305382890149382	0.406394153814178	1.99055742683185	89
GSE154778	14	RAMP2	1.22133558056404	3.93093803640387	0.0474054948419503	0.563112690285333	2.56373772745657	89
GSE154778	15	VAMP5	1.21936925204027	3.88136660871113	0.0488247997357225	0.563112690285333	1.5310586065303	89
GSE155698	1	EPAS1	2.69950340556281	3835.59145822809	0.0	0.0	1.68545248579265	315
GSE155698	2	SPRY1	1.42724776673253	18.723702278952	1.51092678790973e-05	0.0012993970376023	1.35448457815574	315
GSE155698	3	IGFBP3	1.32939225468332	11.4591579456619	0.0007114252923613	0.0407883834287188	1.04862459530188	315
GSE155698	4	INSR	1.30718361501296	10.2294940665675	0.0013821256955943	0.0594314049105585	1.62736803103424	315
GSE155698	5	NR2F2	1.27836460694531	8.8179634368262	0.0029827938739479	0.0863284774954692	0.881182693339663	315
GSE155698	6	EFNB2	1.27798189698028	8.80051302474299	0.0030114585172838	0.0863284774954692	1.08164592429732	315
GSE155698	7	CPE	1.26218296529989	8.10778151140835	0.0044075635990654	0.108300134148465	0.587217635086985	315
GSE155698	8	SAT1	1.23281287963433	6.95397966177882	0.0083632983145284	0.137128959401903	1.43391781921375	315
GSE155698	9	FLT1	1.23024024847449	6.86062680971936	0.0088115633584176	0.137128959401903	1.40076234876797	315
GSE155698	10	KDR	1.22953594208392	6.83527562588447	0.0089374901710279	0.137128959401903	1.07664687908248	315
GSE155698	11	GPR116	1.22693315347688	6.74235053593913	0.0094150493699208	0.137128959401903	1.24506590790069	315
GSE155698	12	DARC	1.2261257914377	6.71376789616782	0.0095671367024583	0.137128959401903	0.950407001344855	315
GSE155698	13	RHOB	1.17305029868697	5.06541144240527	0.024407910789482	0.322935435060838	1.04362435215043	315
GSE155698	14	HLA-DRA	1.15887597943703	4.69440223234832	0.0302610233386995	0.371778286732594	1.12240039877488	315
GSE155698	15	HLA-DRB1	1.14542617958902	4.36608227852648	0.0366611880790025	0.420381623305896	1.28171717988206	315
GSE212966	1	EPAS1	3.53793306536378	5903.73217352667	0.0	0.0	2.08601733631269	974
GSE212966	2	ADGRF5	1.52750633540936	16.4876142744015	4.89689247106186e-05	0.0032504566237665	1.08146648759204	974
GSE212966	3	INSR	1.52307547895054	16.2209836969223	5.63662998341028e-05	0.0032504566237665	1.41450650933873	974
GSE212966	4	TNFAIP3	1.48819710444009	14.2572537055153	0.0001594451046479	0.0068960007760232	0.387898038916238	974
GSE212966	5	GSN	1.42938889826512	11.4366261645886	0.0007201042466669	0.0249156069346757	2.11473206304051	974
GSE212966	6	PRF1	1.39132476290357	9.89635283977526	0.0016560665998825	0.0477499202966141	0.0101719816099782	974
GSE212966	7	CCL14	1.37018174793875	9.1260489001455	0.0025199536351505	0.0622788541258644	1.21361474900034	974
GSE212966	8	TXNIP	1.3611947482574	8.81574289434557	0.002986425967592	0.0645814615491772	1.99354160884749	974
GSE212966	9	GNLY	1.31665994250671	7.41698310208482	0.0064611060607919	0.124196816501889	0.0284296877104941	974
GSE212966	10	CCL2	1.25926795889057	5.91665562746284	0.0149984016435169	0.252536132350172	0.209875571243247	974
GSE212966	11	KDR	1.25411005374001	5.79659832288408	0.0160572107274676	0.252536132350172	0.860826017294826	974
GSE212966	12	ACKR1	1.23523090491937	5.37611376088344	0.0204143032401216	0.294306205045086	1.25293276606688	974
GSE212966	13	A2M	1.17410052479962	4.20033739695077	0.0404159373602442	0.507403135276715	2.81995139220265	974
GSE212966	14	KLF6	1.17252637504784	4.17347395664003	0.0410615253981156	0.507403135276715	1.29899836133461	974
GSE212966	15	PODXL	1.12035970224029	3.36812108390085	0.0664695224242455	0.766615158626298	1.54374652353905	974
