patient	DiseaseState	receiver_group	endpoint	n_cells	value
patient1	AdjNorm	Myeloid	ITGA5	70	0.0142857142857142
patient1	PDAC	Myeloid	ITGA5	58	0.2068965517241379
patient2	AdjNorm	Myeloid	ITGA5	41	0.0975609756097561
patient2	PDAC	Myeloid	ITGA5	27	0.5925925925925926
patient3	AdjNorm	Myeloid	ITGA5	57	0.0
patient4	AdjNorm	Myeloid	ITGA5	151	0.119205298013245
patient4	PDAC	Myeloid	ITGA5	116	0.0344827586206896
patient5	AdjNorm	Myeloid	ITGA5	45	0.4
patient5	PDAC	Myeloid	ITGA5	662	0.7114803625377644
patient6	AdjNorm	Myeloid	ITGA5	443	0.3634311512415349
patient6	PDAC	Myeloid	ITGA5	1282	0.4820592823712948
patient7	PDAC	Myeloid	ITGA5	411	0.7737226277372263
patient8	AdjNorm	Myeloid	ITGA5	40	0.075
patient8	PDAC	Myeloid	ITGA5	63	0.3492063492063492
patient9	AdjNorm	Myeloid	ITGA5	675	0.6992592592592592
patient9	PDAC	Myeloid	ITGA5	629	0.4308426073131955
patient1	AdjNorm	Myeloid	ITGB1	70	0.0285714285714285
patient1	PDAC	Myeloid	ITGB1	58	1.8793103448275863
patient2	AdjNorm	Myeloid	ITGB1	41	1.1219512195121952
patient2	PDAC	Myeloid	ITGB1	27	2.814814814814815
patient3	AdjNorm	Myeloid	ITGB1	57	0.0701754385964912
patient4	AdjNorm	Myeloid	ITGB1	151	0.6556291390728477
patient4	PDAC	Myeloid	ITGB1	116	0.3793103448275862
patient5	AdjNorm	Myeloid	ITGB1	45	4.0
patient5	PDAC	Myeloid	ITGB1	662	2.206948640483384
patient6	AdjNorm	Myeloid	ITGB1	443	2.2686230248307
patient6	PDAC	Myeloid	ITGB1	1282	2.7542901716068644
patient7	PDAC	Myeloid	ITGB1	411	2.2506082725060828
patient8	AdjNorm	Myeloid	ITGB1	40	0.8
patient8	PDAC	Myeloid	ITGB1	63	1.6666666666666667
patient9	AdjNorm	Myeloid	ITGB1	675	2.2503703703703706
patient9	PDAC	Myeloid	ITGB1	629	1.78060413354531
patient1	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	70	0.0214285714285714
patient1	PDAC	Myeloid	ITGA5/ITGB1 receptor score	58	1.043103448275862
patient2	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	41	0.6097560975609756
patient2	PDAC	Myeloid	ITGA5/ITGB1 receptor score	27	1.7037037037037035
patient3	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	57	0.0350877192982456
patient4	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	151	0.3874172185430463
patient4	PDAC	Myeloid	ITGA5/ITGB1 receptor score	116	0.2068965517241379
patient5	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	45	2.2
patient5	PDAC	Myeloid	ITGA5/ITGB1 receptor score	662	1.459214501510574
patient6	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	443	1.3160270880361171
patient6	PDAC	Myeloid	ITGA5/ITGB1 receptor score	1282	1.6181747269890796
patient7	PDAC	Myeloid	ITGA5/ITGB1 receptor score	411	1.5121654501216546
patient8	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	40	0.4375
patient8	PDAC	Myeloid	ITGA5/ITGB1 receptor score	63	1.007936507936508
patient9	AdjNorm	Myeloid	ITGA5/ITGB1 receptor score	675	1.4748148148148148
patient9	PDAC	Myeloid	ITGA5/ITGB1 receptor score	629	1.1057233704292528
patient1	AdjNorm	Myeloid	Lineage state score	70	0.3261904761904762
patient1	PDAC	Myeloid	Lineage state score	58	1.600574712643678
patient2	AdjNorm	Myeloid	Lineage state score	41	8.520325203252032
patient2	PDAC	Myeloid	Lineage state score	27	2.969135802469136
patient3	AdjNorm	Myeloid	Lineage state score	57	0.2690058479532163
patient4	AdjNorm	Myeloid	Lineage state score	151	1.6346578366445916
patient4	PDAC	Myeloid	Lineage state score	116	0.2887931034482758
patient5	AdjNorm	Myeloid	Lineage state score	45	21.11851851851852
patient5	PDAC	Myeloid	Lineage state score	662	7.867573011077543
patient6	AdjNorm	Myeloid	Lineage state score	443	7.283295711060948
patient6	PDAC	Myeloid	Lineage state score	1282	12.297841913676548
patient7	PDAC	Myeloid	Lineage state score	411	10.614355231143552
