layer	dataset	comparison	method	direction	effect	P_or_FDR	directional_interpretation
Tumor–adjacent endothelial DE	GSE155698	tumor vs adjacent	edgeR	decreased in tumor	-1.49033257754014	0.104189221765099	observed abundance difference; not functional direction
Tumor–adjacent endothelial DE	GSE155698	tumor vs adjacent	DESeq2	decreased in tumor	-1.50489318343003	0.028589261735587	observed abundance difference; not functional direction
Tumor–adjacent endothelial DE	GSE212966	tumor vs adjacent	edgeR	decreased in tumor	-1.011681716273	0.0325920373773084	observed abundance difference; not functional direction
Tumor–adjacent endothelial DE	GSE212966	tumor vs adjacent	DESeq2	decreased in tumor	-0.987800966919837	0.0008522619211023	observed abundance difference; not functional direction
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0083783847334135	3.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0012293998510119	0.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	increased program score	0.0009475546073272	0.0	2/3 positive, 1/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0001400689768348	1.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0005786037270237	0.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0004627650701895	1.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0192036706893583	3.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 KO	scTenifold proxy-program response	decreased program score	-0.0032683251672288	0.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0069770444456128	1.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.034760934740095	0.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0155130866924749	0.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0014364476881055	0.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0019607008063477	0.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0198784070468875	0.0	1/3 positive, 2/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0243861772862784	1.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Virtual network perturbation	3 scRNA-seq cohorts	endothelial EPAS1 OE	scTenifold proxy-program response	decreased program score	-0.0065192109292818	0.0	0/3 positive, 3/3 negative signed proxy responses; significant-network cohorts reported separately
Drug signature / pharmacology	LINCS DrugReflector + PRISM	Y-39983	signature reversal / pancreatic cell-line viability	EPAS1 functional mode unknown	-0.09478560513595		Signature reversal does not identify agonism/antagonism; PRISM viability does not establish EPAS1 dependence.
Structural compatibility	five EPAS1 crystal conformers	Y-39983	Vina + co-crystal redocking QC	binding/function direction unknown	-6.553		Docking supports pose compatibility only; it cannot establish binding or target modulation.
Drug signature / pharmacology	LINCS DrugReflector + PRISM	triclabendazole	signature reversal / pancreatic cell-line viability	EPAS1 functional mode unknown	-0.856462467267		Signature reversal does not identify agonism/antagonism; PRISM viability does not establish EPAS1 dependence.
Structural compatibility	five EPAS1 crystal conformers	triclabendazole	Vina + co-crystal redocking QC	binding/function direction unknown	-6.115		Docking supports pose compatibility only; it cannot establish binding or target modulation.
