dataset	analysis_unit	patient_or_sample	outcome	model	n_spots	beta_epas1	partial_r
GSE282302	patient	D1	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	14744	-0.0555232953026667	-0.0555232953026667
GSE282302	patient	D1	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	14744	-0.0208240687487439	-0.0208240687487439
GSE282302	patient	D1	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	14744	0.0692643233384352	0.0692643233384352
GSE282302	patient	D10	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	37645	-0.0148597233591597	-0.0148597233591597
GSE282302	patient	D10	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	37645	0.0477124763997877	0.0477124763997877
GSE282302	patient	D10	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	37645	0.0902236648806608	0.0902236648806608
GSE282302	patient	D11	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	44403	-0.0236203912938352	-0.0236203912938352
GSE282302	patient	D11	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	44403	0.0074870878430922	0.0074870878430922
GSE282302	patient	D11	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	44403	0.1461233106611856	0.1461233106611856
GSE282302	patient	D12	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	36680	-0.0659737366149069	-0.0659737366149069
GSE282302	patient	D12	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	36680	-0.0060482271533891	-0.0060482271533891
GSE282302	patient	D12	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	36680	0.0783277389243535	0.0783277389243535
GSE282302	patient	D13	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11959	-0.0425693905401317	-0.0425693905401317
GSE282302	patient	D13	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11959	0.0134049237383725	0.0134049237383725
GSE282302	patient	D13	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11959	0.0755087909572213	0.0755087909572213
GSE282302	patient	D14	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11428	0.0183713108482645	0.0183713108482645
GSE282302	patient	D14	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11428	0.0032659918186884	0.0032659918186884
GSE282302	patient	D14	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	11428	0.0761578410095163	0.0761578410095163
GSE282302	patient	D2	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17580	-0.0510608084805864	-0.0510608084805864
GSE282302	patient	D2	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17580	0.0343975417158488	0.0343975417158488
GSE282302	patient	D2	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17580	0.0888628344005578	0.0888628344005578
GSE282302	patient	D3	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17805	0.0023050787552267	0.0023050787552267
GSE282302	patient	D3	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17805	0.0491415272583114	0.0491415272583114
GSE282302	patient	D3	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	17805	0.0919733069165826	0.0919733069165826
GSE282302	patient	D4	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	20123	-0.0527409098643237	-0.0527409098643237
GSE282302	patient	D4	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	20123	0.0964004873506984	0.0964004873506984
GSE282302	patient	D4	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	20123	0.1365528924857431	0.1365528924857431
GSE282302	patient	D5	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	21796	-0.0011853280763895	-0.0011853280763895
GSE282302	patient	D5	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	21796	0.0462652958479313	0.0462652958479313
GSE282302	patient	D5	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	21796	0.109545544026002	0.109545544026002
GSE282302	patient	D6	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	24315	0.0475946582771242	0.0475946582771242
GSE282302	patient	D6	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	24315	0.0950991148902667	0.0950991148902667
GSE282302	patient	D6	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	24315	0.1652763447934863	0.1652763447934863
GSE282302	patient	D7	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	25997	0.0105160152292324	0.0105160152292324
GSE282302	patient	D7	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	25997	0.0564136917506008	0.0564136917506008
GSE282302	patient	D7	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	25997	0.1184030009315897	0.1184030009315897
GSE282302	patient	D8	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	33817	0.0389296608647446	0.0389296608647446
GSE282302	patient	D8	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	33817	0.0367171725787834	0.0367171725787834
GSE282302	patient	D8	endothelial_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	33817	0.1388478095903522	0.1388478095903522
GSE282302	patient	D9	myeloid_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	34965	-0.0228355789208718	-0.0228355789208718
GSE282302	patient	D9	T_NK_neighbor_score	outcome ~ EPAS1 + vascular score + depth + detected genes + 4x4 spatial block	34965	0.0278587874313706	0.0278587874313706
