source_table	group_id	dataset	patient_id	tissue_context	major_lineage	gsm_list	n_cells	review_flag	analysis_eligible	comparison	n_reference	n_tumor	edgeR_FDR05	DESeq2_FDR05	overlap_FDR05	jaccard_FDR05	gene_id	direction	median_logFC	mean_abs_logFC	n_FDR05	gse62452_logFC	gse62452_P	gse62452_FDR	gse71729_logFC	gse71729_P	gse71729_FDR	expected_sign	sign_62452	sign_71729	external_FDR_both	external_direction_both	target_priority	evidence_score	priority_order
pseudobulk_metadata	GSE154778__P01__primary_tumor__epithelial	GSE154778	P01	primary_tumor	epithelial	GSM4679532	119.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P02__primary_tumor__epithelial	GSE154778	P02	primary_tumor	epithelial	GSM4679533	31.0	exclude_or_manual_review	False																										
pseudobulk_metadata	GSE154778__P03__primary_tumor__epithelial	GSE154778	P03	primary_tumor	epithelial	GSM4679534	94.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P04__primary_tumor__epithelial	GSE154778	P04	primary_tumor	epithelial	GSM4679535	301.0	caution	True																										
pseudobulk_metadata	GSE154778__P06__primary_tumor__epithelial	GSE154778	P06	primary_tumor	epithelial	GSM4679537	65.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P07__primary_tumor__epithelial	GSE154778	P07	primary_tumor	epithelial	GSM4679538	158.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P08__primary_tumor__epithelial	GSE154778	P08	primary_tumor	epithelial	GSM4679539	435.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P09__primary_tumor__epithelial	GSE154778	P09	primary_tumor	epithelial	GSM4679540	40.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P10__primary_tumor__epithelial	GSE154778	P10	primary_tumor	epithelial	GSM4679541	290.0	acceptable	True																										
pseudobulk_metadata	GSE154778__MET01__metastasis__epithelial	GSE154778	MET01	metastasis	epithelial	GSM4679542	39.0	caution	False																										
pseudobulk_metadata	GSE154778__MET02__metastasis__epithelial	GSE154778	MET02	metastasis	epithelial	GSM4679543	262.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET04__metastasis__epithelial	GSE154778	MET04	metastasis	epithelial	GSM4679545	32.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET05__metastasis__epithelial	GSE154778	MET05	metastasis	epithelial	GSM4679546	175.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET06__metastasis__epithelial	GSE154778	MET06	metastasis	epithelial	GSM4679547	892.0	acceptable	False																										
pseudobulk_metadata	GSE154778__P01__primary_tumor__fibroblast_CAF	GSE154778	P01	primary_tumor	fibroblast_CAF	GSM4679532	160.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P03__primary_tumor__fibroblast_CAF	GSE154778	P03	primary_tumor	fibroblast_CAF	GSM4679534	106.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P04__primary_tumor__fibroblast_CAF	GSE154778	P04	primary_tumor	fibroblast_CAF	GSM4679535	258.0	caution	True																										
pseudobulk_metadata	GSE154778__P05__primary_tumor__fibroblast_CAF	GSE154778	P05	primary_tumor	fibroblast_CAF	GSM4679536	550.0	caution	True																										
pseudobulk_metadata	GSE154778__P06__primary_tumor__fibroblast_CAF	GSE154778	P06	primary_tumor	fibroblast_CAF	GSM4679537	248.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P07__primary_tumor__fibroblast_CAF	GSE154778	P07	primary_tumor	fibroblast_CAF	GSM4679538	154.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P08__primary_tumor__fibroblast_CAF	GSE154778	P08	primary_tumor	fibroblast_CAF	GSM4679539	158.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P09__primary_tumor__fibroblast_CAF	GSE154778	P09	primary_tumor	fibroblast_CAF	GSM4679540	244.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P10__primary_tumor__fibroblast_CAF	GSE154778	P10	primary_tumor	fibroblast_CAF	GSM4679541	128.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P01__primary_tumor__malignant_epithelial	GSE154778	P01	primary_tumor	malignant_epithelial	GSM4679532	40.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P03__primary_tumor__malignant_epithelial	GSE154778	P03	primary_tumor	malignant_epithelial	GSM4679534	164.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P04__primary_tumor__malignant_epithelial	GSE154778	P04	primary_tumor	malignant_epithelial	GSM4679535	98.0	caution	True																										
pseudobulk_metadata	GSE154778__P06__primary_tumor__malignant_epithelial	GSE154778	P06	primary_tumor	malignant_epithelial	GSM4679537	154.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P08__primary_tumor__malignant_epithelial	GSE154778	P08	primary_tumor	malignant_epithelial	GSM4679539	77.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P09__primary_tumor__malignant_epithelial	GSE154778	P09	primary_tumor	malignant_epithelial	GSM4679540	148.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P10__primary_tumor__malignant_epithelial	GSE154778	P10	primary_tumor	malignant_epithelial	GSM4679541	377.0	acceptable	True																										
pseudobulk_metadata	GSE154778__MET01__metastasis__malignant_epithelial	GSE154778	MET01	metastasis	malignant_epithelial	GSM4679542	249.0	caution	False																										
pseudobulk_metadata	GSE154778__MET02__metastasis__malignant_epithelial	GSE154778	MET02	metastasis	malignant_epithelial	GSM4679543	201.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET04__metastasis__malignant_epithelial	GSE154778	MET04	metastasis	malignant_epithelial	GSM4679545	45.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET06__metastasis__malignant_epithelial	GSE154778	MET06	metastasis	malignant_epithelial	GSM4679547	486.0	acceptable	False																										
pseudobulk_metadata	GSE154778__P01__primary_tumor__B_cell	GSE154778	P01	primary_tumor	B_cell	GSM4679532	23.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P05__primary_tumor__B_cell	GSE154778	P05	primary_tumor	B_cell	GSM4679536	39.0	caution	True																										
pseudobulk_metadata	GSE154778__P06__primary_tumor__B_cell	GSE154778	P06	primary_tumor	B_cell	GSM4679537	47.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P07__primary_tumor__B_cell	GSE154778	P07	primary_tumor	B_cell	GSM4679538	167.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P08__primary_tumor__B_cell	GSE154778	P08	primary_tumor	B_cell	GSM4679539	58.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P09__primary_tumor__B_cell	GSE154778	P09	primary_tumor	B_cell	GSM4679540	38.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P10__primary_tumor__B_cell	GSE154778	P10	primary_tumor	B_cell	GSM4679541	44.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P05__primary_tumor__myeloid	GSE154778	P05	primary_tumor	myeloid	GSM4679536	46.0	caution	True																										
pseudobulk_metadata	GSE154778__P06__primary_tumor__myeloid	GSE154778	P06	primary_tumor	myeloid	GSM4679537	21.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P07__primary_tumor__myeloid	GSE154778	P07	primary_tumor	myeloid	GSM4679538	421.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P08__primary_tumor__myeloid	GSE154778	P08	primary_tumor	myeloid	GSM4679539	47.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P09__primary_tumor__myeloid	GSE154778	P09	primary_tumor	myeloid	GSM4679540	224.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P10__primary_tumor__myeloid	GSE154778	P10	primary_tumor	myeloid	GSM4679541	53.0	acceptable	True																										
pseudobulk_metadata	GSE154778__MET03__metastasis__myeloid	GSE154778	MET03	metastasis	myeloid	GSM4679544	26.0	exclude_or_manual_review	False																										
pseudobulk_metadata	GSE154778__MET04__metastasis__myeloid	GSE154778	MET04	metastasis	myeloid	GSM4679545	83.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET05__metastasis__myeloid	GSE154778	MET05	metastasis	myeloid	GSM4679546	82.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET06__metastasis__myeloid	GSE154778	MET06	metastasis	myeloid	GSM4679547	90.0	acceptable	False																										
pseudobulk_metadata	GSE154778__P01__primary_tumor__endothelial	GSE154778	P01	primary_tumor	endothelial	GSM4679532	22.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P01__primary_tumor__T_NK	GSE154778	P01	primary_tumor	T_NK	GSM4679532	31.0	acceptable	True																										
pseudobulk_metadata	GSE154778__P04__primary_tumor__acinar	GSE154778	P04	primary_tumor	acinar	GSM4679535	40.0	caution	True																										
pseudobulk_metadata	GSE154778__MET05__metastasis__acinar	GSE154778	MET05	metastasis	acinar	GSM4679546	2368.0	acceptable	False																										
pseudobulk_metadata	GSE154778__MET06__metastasis__CD8	GSE154778	MET06	metastasis	CD8	GSM4679547	22.0	acceptable	False																										
pseudobulk_metadata	GSE155698__1__primary_tumor__myeloid	GSE155698	1	primary_tumor	myeloid	GSM4710689	378.0	acceptable	True																										
pseudobulk_metadata	GSE155698__2__primary_tumor__myeloid	GSE155698	2	primary_tumor	myeloid	GSM4710690	304.0	acceptable	True																										
pseudobulk_metadata	GSE155698__3__primary_tumor__myeloid	GSE155698	3	primary_tumor	myeloid	GSM4710691	179.0	caution	True																										
pseudobulk_metadata	GSE155698__4__primary_tumor__myeloid	GSE155698	4	primary_tumor	myeloid	GSM4710692	499.0	caution	True																										
pseudobulk_metadata	GSE155698__5__primary_tumor__myeloid	GSE155698	5	primary_tumor	myeloid	GSM4710693	407.0	caution	True																										
pseudobulk_metadata	GSE155698__6__primary_tumor__myeloid	GSE155698	6	primary_tumor	myeloid	GSM4710694	122.0	acceptable	True																										
pseudobulk_metadata	GSE155698__7__primary_tumor__myeloid	GSE155698	7	primary_tumor	myeloid	GSM4710695	725.0	acceptable	True																										
pseudobulk_metadata	GSE155698__8__primary_tumor__myeloid	GSE155698	8	primary_tumor	myeloid	GSM4710696	286.0	acceptable	True																										
pseudobulk_metadata	GSE155698__9__primary_tumor__myeloid	GSE155698	9	primary_tumor	myeloid	GSM4710697	2690.0	acceptable	True																										
