source_table	patient	n_ROI	n_spots	median_EPAS1_vascular_rho	median_EPAS1_program_rho	proportion_positive_EPAS1_vascular	proportion_positive_EPAS1_program	EPAS1_vascular_positive	EPAS1_program_positive	evidence_layer	target	cohort_or_dataset	direction	patient_level_consistency	permutation_or_FDR	CellChat_support	spatial_ecology_support	evidence_grade	interpretation	ligand	receptor	pathway_name	n_edges	min_p	mean_prob	dataset	outcome	n_independent_units	n_positive	n_negative	median_conditional_beta	mean_conditional_beta	exact_two_sided_sign_p	BH_q_across_spatial_endpoints
spatial_anchor	D10	10.0	37645.0	0.150967190809679	-0.0338657799590388	1.0	0.4	True	False																									
spatial_anchor	D11	14.0	44403.0	0.253949247667648	-0.068014353577616	1.0	0.142857142857143	True	False																									
spatial_anchor	D12	11.0	36680.0	0.237357633699272	-0.0192157406972687	1.0	0.4	True	False																									
spatial_anchor	D13	3.0	11959.0	0.147448092333382	0.0345115480163461	1.0	0.5	True	True																									
spatial_anchor	D14	3.0	11428.0	0.0788716450333636	0.019953718459209	1.0	1.0	True	True																									
spatial_anchor	D1	6.0	14744.0	0.164786651398005	-0.0092615042176626	0.833333333333333	0.5	True	False																									
spatial_anchor	D2	6.0	17580.0	0.224569949535695	-0.04508228561058	1.0	0.0	True	False																									
spatial_anchor	D3	6.0	17805.0	0.255979005814706	-0.0227379306879446	1.0	0.5	True	False																									
spatial_anchor	D4	6.0	20123.0	0.298855645629985	-0.0446187608819881	1.0	0.333333333333333	True	False																									
spatial_anchor	D5	7.0	21796.0	0.215849494129965	-2.59385722444474e-05	1.0	0.428571428571429	True	False																									
spatial_anchor	D6	7.0	24315.0	0.26266801102943	-0.0169952968580662	1.0	0.428571428571429	True	False																									
spatial_anchor	D7	7.0	25997.0	0.231401866273672	-0.0004939839413138	1.0	0.428571428571429	True	False																									
spatial_anchor	D8	10.0	33817.0	0.247003619625084	-0.0161461791557184	1.0	0.4	True	False																									
spatial_anchor	D9	12.0	34965.0	0.181790669498159	-0.0073570747456748	1.0	0.5	True	False																									
SecAct										SecAct spatial permutation	SPARCL1	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	VWF	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	MMRN2	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	IGFBP7	GSE282302	positive	13/14	exact sign p=0.00183; BH q=0.00366; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	C	directional sensitivity signal; not retained in the core spatial panel															
SecAct										SecAct spatial permutation	ANGPT2	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	ANGPT2 only	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	IL33	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	SPARCL1	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	VWF	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	MMRN2	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
