source_table	compound	rank	logit	prob	signature	target	direction	column	broad_id	name	moa	screen_id	n_panc	median_lfc	mean_lfc	fraction_lfc_le_neg05	pdb_id	affinity_best_kcal_mol	affinity_all_modes_kcal_mol	n_modes	exhaustiveness	num_modes_requested	energy_range	cpu	return_code	status	group	affinity_kcal_mol	contact_count	contacts
DrugReflector	BRD-K83694683	0.0	9.44693374633789	0.0558371990919113	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K64857848	1.0	8.364834785461426	0.0189223028719425	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K35169477	2.0	8.359684944152832	0.0188251063227653	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K93577185	3.0	8.047171592712402	0.0137725584208965	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K66814954	4.0	7.816333293914795	0.0109335910528898	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-A44090213	5.0	7.763000011444092	0.0103657431900501	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K04877770	6.0	7.756432056427002	0.0102978851646184	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K35329391	7.0	7.67534875869751	0.0094958543777465	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K24821794	8.0	7.6041388511657715	0.0088431695476174	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K52186107	9.0	7.504257202148437	0.0080025782808661	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K65540587	10.0	7.472351551055908	0.0077512804418802	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K77625799	11.0	7.436463832855225	0.007478036917746	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K50387473	12.0	7.379093647003174	0.0070610954426229	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K21389281	13.0	7.334403991699219	0.0067524844780564	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K64755930	14.0	7.328973770141602	0.0067159165628254	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K61001510	15.0	7.254859924316406	0.006236171349883	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K37669227	16.0	7.233652591705322	0.0061053112149238	EPAS1__COMPOSITE__META	EPAS1	state																							
DrugReflector	BRD-K77547509	17.0	7.205583095550537	0.0059363208711147	EPAS1__COMPOSITE__META	EPAS1	state																							
